Municipality_number,Population,Area
0301,673469,454.03
1101,14898,431.66
1103,141186,262.52
1106,37167,72.72
1108,76328,304.46
1119,18762,258.22
1120,19042,113.49
1121,18656,183.19
1122,11902,617.98
1124,26016,69.04
1127,10873,24.71
1130,12662,261.69
1146,11041,425.41
1149,42229,229.95
1505,24442,87.44
1506,26822,362.69
1507,66258,632.42
1520,10744,804.43
1579,13215,521.83
1804,51022,1395.28
1806,18756,3432.17
1824,13465,1929.1
1833,26101,4459.98
1860,11294,424.55
3001,30790,642.3
3002,32407,63.57
3003,55127,405.61
3004,80121,292.55
3005,68363,317.68
3006,27216,793.09
3007,30034,1555.08
3014,45000,791.93
3019,17188,133.97
3020,16732,133.97
3021,19288,102.68
3022,15743,85.7
3023,18869,61.46
3024,124008,192.26
3025,60781,100.71
3026,16162,961.66
3027,17730,71.68
3028,10927,232.58
3029,37406,70.55
3030,85757,456.61
3031,23213,186.22
3033,35102,252.47
3034,21241,637.35
3035,24415,456.49
3036,12657,340.99
3047,13786,517.18
