Municipality_number,Municipality_name
1827,DØNNA
1818,HERØY (NORDLAND)
1816,VEVELSTAD
1822,LEIRFJORD
1813,BRØNNØY
1812,SØMNA
1815,VEGA
5401,TROMSØ
5422,BALSFJORD
5425,STORFJORD
5424,LYNGEN
5423,KARLSØY
5426,GÁIVUOTNA KÅFJORD
5428,NORDREISA
5429,KVÆNANGEN
2100,SVALBARD
5427,SKJERVØY
5432,LOPPA
5421,SENJA
5419,SØRREISA
5420,DYRØY
5418,MÅLSELV
5417,SALANGEN
5415,LAVANGEN
5416,BARDU
5402,HARSTAD
5412,TJELDSUND
5413,IBESTAD
5414,GRATANGEN
5403,ALTA
5430,GUOVDAGEAIDNU KAUTOKEINO
5433,HASVIK
5406,HAMMERFEST
5434,MÅSØY
5436,PORSANGER PORSÁNGU PORSANKI
5438,LEBESBY
5437,KARASJOHKA KARASJOK
5435,NORDKAPP
5439,GAMVIK
5405,VADSØ
5442,UNJARGGA NESSEBY
5441,DEATNU TANA
5444,SØR-VARANGER
5404,VARDØ
5440,BERLEVÅG
5443,BÅTSFJORD
